"Id";"Riferimento";"Contenitore";"Quantità";"Valore";"Produttore";
1;"U1";"TO92";1;"DS18S20";;;
2;"SW2";"SW_PUSH_SMD";1;"SW_PUSH";;;
3;"U8";"SSOP28";1;"FT232RL";;;
4;"U6,U4";"SO8N";2;"MP2307";;;
5;"R5";"SM0603_Resistor";1;"44.2K 1%";;;
6;"R11,R10";"SM0603_Resistor";2;"270";;;
7;"R8,R4";"SM0603_Resistor";2;"10K 1%";;;
8;"R9";"SM0603_Resistor";1;"26.1K 1%";;;
9;"R7,R3";"SM0603_Resistor";2;"6.8K";;;
10;"R6,R2";"SM0603_Resistor";2;"100K";;;
11;"CP1";"SM0603_Capa";1;"10uF";;;
12;"C12,C13,C8,C3";"SM0603_Capa";4;"0.1uF";;;
13;"C11,C6";"SM0603_Capa";2;"22uF 6.3v";;;
14;"C5,C10";"SM0603_Capa";2;"10nF";;;
15;"C9,C4";"SM0603_Capa";2;"3.3nF";;;
16;"C7,C2";"SM0603_Capa";2;"10uF/25V";;;
17;"P6";"SIL-6";1;"CONN_6";;;
18;"P4,P5";"SIL-5";2;"CONN_5";;;
19;"P3,P11";"SIL-4";2;"CONN_4";;;
20;"P2";"SIL-2";1;"CONN_2";;;
21;"U2";"SDCARD_DM3AT";1;"MICROSDCARD";;;
22;"D1,D2";"LED-0603";2;"LED";;;
23;"P1";"JACK_ALIM";1;"CONN_2";;;
24;"U5,U7";"inductor_smd_4.8x2.8mm";2;"INDUCTOR_SMALL";;;
25;"J2";"HR911105_RJ45";1;"HR911105_RJ45";;;
26;"J1";"conn_usb_B_micro_smd-2";1;"USB_MICRO";;;
27;"BT1";"BAT_CR1216";1;"BATTERY";;;
28;"U3";"Aria-G25";1;"ARIAG25";;;
29;"P10";"SIL-9";1;"CONN_9";;;
30;"P9,P7";"SIL-8";2;"CONN_8";;;
31;"P8";"SIL-10";1;"CONN_10";;;
32;"P12,P13,P14";"conn_usb_A-vert";3;"CONN_4";;;
33;"G***";"OSHW";1;"OSHW";;;
34;"G***";"Openlab 3mm";1;"OpenLab 3mm";;;
35;"G***";"Prometeo_reversed_10mm";1;"LOGO";;;
